Size,Breed,CountryOfOrigin,FurColor,MinHeight,MaxHeight,AverageHeight,EyeColor,MinLongevity,MaxLongevity,AverageLongevity,CharacterTraits,CommonHealthProblems
Large,Samoyed,Russia,White,21,23,22,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Australian Shepherd,Australia,Blue Merle,20,23,21.5,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Australian Shepherd,Australia,"Black, Red",18,23,20.5,"Brown, Blue",12,15,14,"Intelligent, energetic, loyal, trainable","Hip dysplasia, eye problems, epilepsy"
Large,Australian Shepherd,Australia,"Black, Red",18,23,20.5,Brown,12,15,14,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia"
Large,Labrador Retriever,Canada,"Yellow, Black, Chocolate",21,24,22.5,Brown,10,12,11,"Loyal, friendly, intelligent, energetic, good-natured","Hip dysplasia, obesity, ear infections"
Large,Golden Retriever,Scotland,Golden,21,24,22.5,Brown,10,12,11,"Intelligent, friendly, kind, loyal, good-natured","Hip dysplasia, cancer, skin allergies"
Large,Siberian Husky,Russia,"Black, White",21,24,22.5,Blue,12,15,14,"Independent, energetic, intelligent, playful, strong","Hip dysplasia, eye problems, hereditary myopathy"
Large,Golden Retriever,Scotland,Gold,21,24,22.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Irish Water Spaniel,Ireland,Brown,21,24,22.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Wirehaired Pointing Griffon,Belgium,"Brown, White",21,24,22.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,English Springer Spaniel,England,"Black, White, Liver",20,24,22,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Vizsla,Hungary,Red,20,24,22,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Flat-Coated Retriever,England,"Black, Liver",22,25,23.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Africanis,Africa,"Brown, Red",22,25,23.5,Brown,12,15,14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Boxer,Germany,"Fawn, Brindle",21,25,23,Brown,10,12,11,"Loyal, energetic, intelligent, playful, protective","Hip dysplasia, cancer, heart conditions"
Large,Pharaoh Hound,Malta,Red,21,25,23,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Welsh Springer Spaniel,Wales,"Liver, White",20,25,22.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,German Shepherd,Germany,"Black, Tan",22,26,24,Brown,7,10,9,"Loyal, intelligent, protective, confident, trainable","Hip dysplasia, elbow dysplasia, pancreatitis"
Large,Old English Sheepdog,England,"Blue, Grey",22,26,24,Brown,10,12,11,"Gentle, intelligent, good-natured, protective","Hip dysplasia, eye problems, skin allergies"
Large,Belgian Malinois,Belgium,"Fawn, Mahogany",22,26,24,Brown,12,14,13,"Intelligent, energetic, loyal, protective","Hip dysplasia, eye problems, skin allergies"
Large,Belgian Tervuren,Belgium,Fawn,22,26,24,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Chesapeake Bay Retriever,United States,"Brown, Tan",21,26,23.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Catahoula Leopard Dog,United States,"Merle, Black",20,26,23,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Rhodesian Ridgeback,Rhodesia,Light Wheaten,25,27,26,Brown,10,12,11,"Intelligent, athletic, loyal, good-natured","Hip dysplasia, eye problems, cancer"
Large,English Setter,England,"Liver, Blue",25,27,26,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Gordon Setter,Scotland,"Black, Tan",24,27,25.5,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,English Setter,England,"Black, White, Liver",23,27,25,Brown,12,15,14,"Intelligent, energetic, affectionate, good-natured","Hip dysplasia, eye problems, cancer"
Large,Gordon Setter,Scotland,"Black, Tan",23,27,25,Brown,12,15,14,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Large,Rottweiler,Germany,"Black, Tan",22,27,24.5,Brown,8,10,9,"Loyal, protective, confident, strong","Hip dysplasia, cancer, elbow dysplasia"
Large,Bloodhound,England,"Red, Black",22,27,24.5,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,Pointer,England,"Black, White, Liver",21,27,24,Brown,12,15,14,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Large,Newfoundland,Canada,"Black, Brown, Grey",26,28,27,Brown,9,11,10,"Loyal, intelligent, gentle, good-natured","Hip dysplasia, heart conditions, cancer"
Large,Irish Setter,Ireland,Red,26,28,27,Brown,12,14,13,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies"
Large,Giant Schnauzer,Germany,"Black, Salt & Pepper",25,28,26.5,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,Doberman Pinscher,Germany,"Black, Red",24,28,26,Brown,10,12,11,"Loyal, energetic, intelligent, protective","Hip dysplasia, heart conditions, cancer"
Large,Irish Setter,Ireland,Red,24,28,26,Brown,12,15,14,"Intelligent, energetic, good-natured, affectionate","Hip dysplasia, eye problems, cancer"
Large,Akita,Japan,"Red, Fawn, Sesame",24,28,26,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,Saluki,Middle East,"Cream, Red",23,28,25.5,Brown,12,14,13,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Cane Corso,Italy,"Black, Red",22,28,25,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,American Bulldog,United States,"White, Red",20,28,24,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,Anatolian Shepherd,Turkey,Fawn,27,29,28,Brown,12,14,13,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,Borzoi,Russia,"White, Cream, Red",26,29,27.5,Brown,10,12,11,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies"
Large,Weimaraner,Germany,"Silver, Grey",25,29,27,"Blue, Grey",10,12,11,"Energetic, intelligent, good-natured, loyal","Hip dysplasia, eye problems, cancer"
Large,Kuvasz,Hungary,White,25,29,27,Brown,10,12,11,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
Large,Saint Bernard,Switzerland,"Red, White",26,30,28,Brown,8,10,9,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, heart conditions"
Large,Greyhound,England,"Black, White, Brindle",26,30,28,Brown,10,12,11,"Intelligent, athletic, sensitive, good-natured","Hip dysplasia, eye problems, heart conditions"
Large,Greyhound,England,"White, Black, Red",26,30,28,Brown,10,12,11,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies"
Large,Scottish Deerhound,Scotland,"Blue, Grey",28,32,30,Brown,8,10,9,"Gentle, intelligent, good-natured, independent","Hip dysplasia, heart conditions, cancer"
Large,Great Pyrenees,France,White,25,32,28.5,Brown,10,12,11,"Loyal, intelligent, gentle, protective","Hip dysplasia, cancer, skin allergies"
Large,Mastiff,England,"Apricot, Fawn",30,34,32,Brown,8,10,9,"Loyal, gentle, protective, good-natured","Hip dysplasia, heart conditions, cancer"
Large,Great Dane,Germany,"Black, Blue, Fawn, Harlequin",28,34,31,Brown,8,10,9,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, cancer, heart conditions"
Large,Irish Wolfhound,Ireland,"Grey, Red, Black",30,35,32.5,Brown,6,8,7,"Gentle, loyal, intelligent, good-natured","Hip dysplasia, heart conditions, cancer"
Large,Irish Wolfhound,Ireland,"Grey, Red",30,35,32.5,Brown,6,10,8,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies"
